customerID,firstName,lastName,title,eMailAddress,phoneNumber,street,city,countryCode_code,postalCode,companyName,companyAddress
000023,John,Doe,Mr.,john.doe@example.com,1234567890,123 Main St,Anytown,US,12345,Acme Corp,456 Market St
000024,Jane,Doe,Ms.,jane.doe@example.com,0987654321,456 Market St,Anytown,US,12345,Widget Inc,123 Main St
000025,Jim,Smith,Mr.,jim.smith@example.com,1112223333,789 Broadway St,Anycity,US,67890,Gadget Co,789 Broadway St
000026,Jill,Johnson,Ms.,jill.johnson@example.com,9998887777,321 Oak St,Anycity,US,67890,Tech Corp,321 Oak St
000027,Joe,Brown,Mr.,joe.brown@example.com,5556667777,123 Elm St,Anytown,US,12345,Innovate Corp,123 Elm St
000028,Julie,Williams,Ms.,julie.williams@example.com,4445556666,456 Pine St,Anycity,US,67890,Create Inc,456 Pine St
000029,Jack,Davis,Mr.,jack.davis@example.com,3334445555,789 Maple St,Anytown,US,12345,Develop Co,789 Maple St
000030,Jessica,Miller,Ms.,jessica.miller@example.com,2223334444,321 Cedar St,Anycity,US,67890,Design Corp,321 Cedar St
000031,Jerry,Wilson,Mr.,jerry.wilson@example.com,1112223333,123 Birch St,Anytown,US,12345,Invent Corp,123 Birch St
000032,Jennifer,Moore,Ms.,jennifer.moore@example.com,9998887777,456 Walnut St,Anycity,US,67890,Produce Inc,456 Walnut St
000033,Jeff,Taylor,Mr.,jeff.taylor@example.com,7776665555,789 Chestnut St,Anytown,US,12345,Generate Co,789 Chestnut St
000034,Janet,Anderson,Ms.,janet.anderson@example.com,5554443333,321 Spruce St,Anycity,US,67890,Create Corp,321 Spruce St
000035,Jacob,Thomas,Mr.,jacob.thomas@example.com,3332221111,123 Fir St,Anytown,US,12345,Innovate Inc,123 Fir St
000036,Jasmine,Jackson,Ms.,jasmine.jackson@example.com,1119998888,456 Hemlock St,Anycity,US,67890,Develop Co,456 Hemlock St
000037,Jeremy,White,Mr.,jeremy.white@example.com,8887776666,789 Pine St,Anytown,US,12345,Design Corp,789 Pine St
000038,Jenna,Harris,Ms.,jenna.harris@example.com,6665554444,321 Maple St,Anycity,US,67890,Invent Corp,321 Maple St
000039,Jason,Martin,Mr.,jason.martin@example.com,4443332222,123 Cedar St,Anytown,US,12345,Produce Inc,123 Cedar St
000040,Jill,Thompson,Ms.,jill.thompson@example.com,2221119999,456 Birch St,Anycity,US,67890,Generate Co,456 Birch St
000041,Justin,Garcia,Mr.,justin.garcia@example.com,9998887777,789 Walnut St,Anytown,US,12345,Create Corp,789 Walnut St
000042,Julia,Martinez,Ms.,julia.martinez@example.com,7776665555,321 Chestnut St,Anycity,US,67890,Innovate Inc,321 Chestnut St
